id;pet_id;owner_id;discovery_id;appt_time;vet_id;status;created_at
1;1877;21376;6457;2025-09-11T03:17:50;30335;CONFIRMED;2025-09-10T08:09:28
2;279;15450;5978;2025-09-10T17:07:35;31429;DONE;2025-09-11T04:23:13
3;17366;15283;9669;2025-09-11T02:11:31;15942;DONE;2025-09-10T16:28:52
4;12222;28547;14007;2025-09-10T23:57:38;5241;DONE;2025-09-11T01:20:19
5;13925;3739;15700;2025-09-11T00:37:12;19859;DONE;2025-09-10T14:12:49
6;3783;4619;11475;2025-09-11T04:49:54;24768;CANCELLED;2025-09-10T23:14:20
7;11631;3162;7018;2025-09-10T17:12:39;175;CANCELLED;2025-09-10T15:23:07
8;18170;885;19325;2025-09-10T19:50:59;24175;DONE;2025-09-11T06:50:50
9;16878;20518;15048;2025-09-11T04:27:25;22169;CANCELLED;2025-09-10T13:18:11
10;21361;29269;18949;2025-09-10T11:41:09;23343;PENDING;2025-09-10T09:41:25
