id;pet_id;vet_id;appt_id;diagnosis;treatment;notes;created_at
1;30589;3432;28660;proceed finally;geez like;unlike whoever;2025-09-10T12:16:27
2;28601;28984;16813;brace;riser per;before schlep;2025-09-11T07:31:38
3;26580;3898;28457;easy whereas after;front even;damp floss pish;2025-09-10T19:14:32
4;29051;12079;6255;stupendous generously duh;elegantly though;absent;2025-09-10T08:24:37
5;20983;2495;28661;whenever once now;curiously gee via;boo instead er;2025-09-10T16:14:08
6;2224;29147;32714;regarding;siege phew uh-huh;above;2025-09-10T07:50:49
7;13841;19605;29589;defendant;out;haversack naturally willfully;2025-09-11T06:59:26
8;17621;4101;14287;hateful appreciate;optimal beneath;per mountain;2025-09-10T17:00:11
9;30919;20158;21857;for;scrap vacantly pushy;helpful;2025-09-10T09:17:55
10;19422;23012;27913;vol;finding;noxious;2025-09-10T23:51:30
